Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-19,28.87,0.0008909905943288,0.000890593897827,0.0116761514956127,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333334,4.0,,4.25,3.0,5.94,158.4,1.278772378516635,-1.94,2.721,,965.97,28.9236,-0.0018531579748025636,-0.002741705735109043,,,0.00015873015873015873,0.0007322604355986412,,0.0,
2020-10-20,28.8853,0.0005299618981642,0.0005298215179527,0.0122123013091868,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333334,4.0,,4.25,3.0,5.931,158.4,1.278772378516635,-1.931,2.721,,966.02,28.9236,-0.0013241781797563082,-0.002741705735109043,,,0.00015873015873015873,0.0003712317394340413,,0.0,
2020-10-21,28.9142,0.001000508909376,0.0010000087339294,0.0132250287348265,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333333,4.0,,4.25,3.0,5.912,158.4,1.278772378516635,-1.912,2.721,,967.26,28.9236,-0.00032499412244670127,-0.002741705735109043,,,0.00015873015873015873,0.0008417787506458413,,0.0,
2020-10-22,28.9224,0.0002835976786492,0.000283557472429,0.0135123770009251,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.74,4.0,,4.25,3.0,5.915,158.4,1.278772378516635,-1.915,2.721,,967.4,28.9236,-4.148861137620338e-05,-0.002741705735109043,,,0.00015873015873015873,0.00012486751991904127,,0.0,
2020-10-23,29.0233,0.0034886454789366,0.0034825742713942,0.0170481623727958,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333334,4.0,,4.25,3.0,5.844,158.4,1.278772378516635,-1.844,2.721,,971.23,29.0233,0.0,-0.002741705735109043,,,0.00015873015873015873,0.0033299153202064414,,0.0,
2020-10-26,29.1613,0.0047548004534287,0.0047435320948331,0.021884023436405,,,61581.1,0.0,0.0,0.88,0.3968253968253967,0.7396666666666667,4.0,,4.25,3.0,5.834,158.4,1.278772378516635,-1.834,2.721,,972.99,29.1613,0.0,-0.002741705735109043,,,0.00015873015873015873,0.0045960702946985415,,0.0,
2020-10-27,29.1532,-0.0002777653945469,-0.0002778039784991,0.0216001794174538,,,61581.1,0.0,0.0,0.88,0.3968253968253967,0.7396666666666666,4.0,,4.25,3.0,5.846,158.4,1.278772378516635,-1.846,2.721,,972.02,29.1613,-0.000277765394546966,-0.002741705735109043,,,0.00015873015873015873,-0.00043649555327705873,,-0.0002777653945469,
2020-10-28,29.1383,-0.0005110931218527,-0.0005112237744613,0.02107804659247,,,61581.1,0.0,0.0,0.88,0.3968253968253967,0.7400000000000001,4.0,,4.25,3.0,5.859,158.4,1.278772378516635,-1.859,2.721,,971.49,29.1613,-0.0007887165524170626,-0.002741705735109043,,,0.00015873015873015873,-0.0006698232805828588,,-0.0005110931218527,
2020-10-29,29.0602,-0.0026803210894253,-0.002683919581511,0.0183412295702389,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7396666666666667,4.0,,4.25,3.0,5.881,158.4,1.278772378516635,-1.881,2.721,,969.87,29.1613,-0.0034669236282333918,-0.0034669236282333918,,,0.00015873015873015873,-0.0028390512481554584,,-0.0026803210894253,
2020-11-02,29.0662,0.0002064679527327,0.0002064466411583,0.0185514843990917,,,61581.1,0.0,0.0,0.87,0.3809523809523809,0.7403333333333334,4.0,,4.25,3.0,5.89,158.9,0.3156565656565746,-1.89,3.684,,969.14,29.1613,-0.003261171484124582,-0.0034669236282333918,,,0.00015873015873015873,4.773779400254127e-05,,0.0,
