Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-21,30.1776,0.002724650779516,0.0027209456471827,0.0201890440967666,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.912,158.4,1.278772378516635,-1.912,2.721,,967.26,30.1776,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0025659206207858413,,0.0,
2020-10-22,30.2015,0.000791978155983,0.000791664706769,0.0209970115346647,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.915,158.4,1.278772378516635,-1.915,2.721,,967.4,30.2015,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0006332479972528413,,0.0,
2020-10-23,30.2673,0.0021786997334569,0.0021763298088045,0.0232214574515556,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.844,158.4,1.278772378516635,-1.844,2.721,,971.23,30.2673,0.0,-0.004202106800449001,,,0.00015873015873015873,0.002019969574726741,,0.0,
2020-10-26,30.3989,0.0043479266403017,0.0043385017166424,0.0276703492853376,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.834,158.4,1.278772378516635,-1.834,2.721,,972.99,30.3989,0.0,-0.004202106800449001,,,0.00015873015873015873,0.004189196481571541,,0.0,
2020-10-27,30.4628,0.0021020497452211,0.0020998435298307,0.0298305634812241,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.846,158.4,1.278772378516635,-1.846,2.721,,972.02,30.4628,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0019433195864909413,,0.0,
2020-10-28,30.4316,-0.0010242000078785,-0.0010247248591055,0.0287758110099931,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.859,158.4,1.278772378516635,-1.859,2.721,,971.49,30.4628,-0.0010242000078785236,-0.004202106800449001,,,0.00015873015873015873,-0.0011829301666086587,,-0.0010242000078785,
2020-10-29,30.4194,-0.0004008990654451,-0.0004009794469594,0.0283633757488066,,,133925.63,0.0,0.0,0.25,0.0,,4.0,,4.25,3.0,5.881,158.4,1.278772378516635,-1.881,2.721,,969.87,30.4628,-0.0014246884724976653,-0.004202106800449001,,,0.00015873015873015873,-0.0005596292241752587,,-0.0004008990654451,
2020-11-02,30.4628,0.0014267211056102,0.001425704306065,0.0298305634812241,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.89,158.9,0.3156565656565746,-1.89,3.684,,969.14,30.4628,0.0,-0.004202106800449001,,,0.00015873015873015873,0.0012679909468800413,,0.0,
2020-11-03,30.405,-0.0018973961684415,-0.001899198504743,0.0278765669159308,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.898,158.9,0.3156565656565746,-1.898,3.684,,968.54,30.4628,-0.0018973961684415185,-0.004202106800449001,,,0.00015873015873015873,-0.002056126327171659,,-0.0018973961684415,
2020-11-04,30.4132,0.0002696924847886,0.0002696561243078,0.0281537775013183,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.886,158.9,0.3156565656565746,-1.886,3.684,,969.57,30.4628,-0.0016282153971401722,-0.004202106800449001,,,0.00015873015873015873,0.00011096232605844125,,0.0,
