Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,TER,ter_change,ter_rolling_mean_30d,Average AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-10-16,30.112,9.96e-05,9.96e-05,0.012392665,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.935,158.4,1.278772378516635,-1.935,2.721,,966.55,30.112,0.0,-0.0009643104340405149,,,0.00015873015873015873,-5.9130158730158735e-05,,0.0,
2020-10-19,30.1357,0.000787062,0.000786752,0.013189481,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.94,158.4,1.278772378516635,-1.94,2.721,,965.97,30.1357,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.0006283318412698413,,0.0,
2020-10-20,30.1503,0.000484475,0.000484358,0.013680346,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.931,158.4,1.278772378516635,-1.931,2.721,,966.02,30.1503,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.00032574484126984127,,0.0,
2020-10-21,30.1776,0.000905464,0.000905054,0.014598197,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.912,158.4,1.278772378516635,-1.912,2.721,,967.26,30.1776,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.0007467338412698413,,0.0,
2020-10-22,30.188,0.000344626,0.000344567,0.014947854,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.915,158.4,1.278772378516635,-1.915,2.721,,967.4,30.188,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.00018589584126984127,,0.0,
2020-10-23,30.2647,0.002540745,0.002537522,0.017526577,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.844,158.4,1.278772378516635,-1.844,2.721,,971.23,30.2647,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.002382014841269841,,0.0,
2020-10-26,30.3651,0.003317396,0.003311906,0.020902116,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.834,158.4,1.278772378516635,-1.834,2.721,,972.99,30.3651,0.0,-0.0009643104340405149,,,0.00015873015873015873,0.003158665841269841,,0.0,
2020-10-27,30.358,-0.000233821,-0.000233848,0.020663408,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.846,158.4,1.278772378516635,-1.846,2.721,,972.02,30.3651,-0.00023382106431400575,-0.0009643104340405149,,,0.00015873015873015873,-0.0003925511587301587,,-0.000233821,
2020-10-28,30.3325,-0.000839976,-0.000840329,0.019806075,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.859,158.4,1.278772378516635,-1.859,2.721,,971.49,30.3651,-0.0010736009431881396,-0.0010736009431881396,,,0.00015873015873015873,-0.0009987061587301586,,-0.000839976,
2020-10-29,30.3095,-0.000758263,-0.00075855,0.019032794,,,0.45,0.0,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.881,158.4,1.278772378516635,-1.881,2.721,,969.87,30.3651,-0.0018310494613883,-0.0018310494613883,,,0.00015873015873015873,-0.0009169931587301587,,-0.000758263,
2020-11-02,30.3147,0.000171563,0.000171549,0.019207623,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.89,158.9,0.3156565656565746,-1.89,3.684,,969.14,30.3651,-0.0016598002311865704,-0.0018310494613883,,,0.00015873015873015873,1.283284126984128e-05,,0.0,
2020-11-03,30.3328,0.00059707,0.000596892,0.019816161,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.898,158.9,0.3156565656565746,-1.898,3.684,,968.54,30.3651,-0.001063721179907291,-0.0018310494613883,,,0.00015873015873015873,0.00043833984126984127,,0.0,
2020-11-04,30.3244,-0.000276928,-0.000276966,0.019533745,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.886,158.9,0.3156565656565746,-1.886,3.684,,969.57,30.3651,-0.0013403545517716414,-0.0018310494613883,,,0.00015873015873015873,-0.00043565815873015875,,-0.000276928,
2020-11-05,30.3875,0.002080833,0.002078671,0.021655224,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.86,158.9,0.3156565656565746,-1.86,3.684,,971.23,30.3875,0.0,-0.0018310494613883,,,0.00015873015873015873,0.001922102841269841,,0.0,
2020-11-06,30.4043,0.000552859,0.000552706,0.022220056,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.871,158.9,0.3156565656565746,-1.871,3.684,,971.45,30.4043,0.0,-0.0018310494613883,,,0.00015873015873015873,0.0003941288412698412,,0.0,
2020-11-09,30.3938,-0.000345346,-0.000345406,0.021867036,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.876,158.9,0.3156565656565746,-1.876,3.684,,969.83,30.4043,-0.0003453458885749844,-0.0018310494613883,,,0.00015873015873015873,-0.0005040761587301588,,-0.000345346,
2020-11-10,30.3624,-0.001033105,-0.001033639,0.02081134,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.916,158.9,0.3156565656565746,-1.916,3.684,,967.62,30.4043,-0.0013780945458372097,-0.0018310494613883,,,0.00015873015873015873,-0.0011918351587301588,,-0.001033105,
2020-11-11,30.362,-1.32e-05,-1.32e-05,0.020797891,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.903,158.9,0.3156565656565746,-1.903,3.684,,967.9,30.4043,-0.001391250579687771,-0.0018310494613883,,,0.00015873015873015873,-0.00017193015873015873,,-1.32e-05,
2020-11-12,30.3603,-5.6e-05,-5.6e-05,0.020740736,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.903,158.9,0.3156565656565746,-1.903,3.684,,967.73,30.4043,-0.0014471637235522767,-0.0018310494613883,,,0.00015873015873015873,-0.00021473015873015874,,-5.6e-05,
2020-11-13,30.3917,0.001034245,0.001033711,0.021796432,,,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.878,158.9,0.3156565656565746,-1.878,3.684,,969.88,30.4043,-0.00041441506628993454,-0.0018310494613883,30.4043,-0.00041441506628993454,0.00015873015873015873,0.0008755148412698413,,0.0,
2020-11-17,30.4386,0.001543184,0.001541995,0.023373253,0.000771571,0.001532365,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.877,158.9,0.3156565656565746,-1.877,3.684,,970.15,30.4386,0.0,-0.0018310494613883,30.4386,0.0,0.00015873015873015873,0.0013844538412698412,0.39992951312022545,0.0,1.954768108287267
2020-11-18,30.4432,0.000151124,0.000151112,0.023527909,0.000755539,0.001536385,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.878,158.9,0.3156565656565746,-1.878,3.684,,970.08,30.4432,0.0,-0.0018310494613883,30.4432,0.0,0.00015873015873015873,-7.606158730158718e-06,0.38844837048859676,0.0,1.9036320744520612
2020-11-19,30.4539,0.000351474,0.000351412,0.023887652,0.000799399,0.001504036,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.876,158.9,0.3156565656565746,-1.876,3.684,,970.13,30.4539,0.0,-0.0018310494613883,30.4539,0.0,0.00015873015873015873,0.00019274384126984127,0.42596441604611435,0.0,2.3366402345449413
2020-11-20,30.4783,0.000801211,0.00080089,0.024708002,0.000787765,0.001502578,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.877,158.9,0.3156565656565746,-1.877,3.684,,969.9,30.4783,0.0,-0.0018310494613883,30.4783,0.0,0.00015873015873015873,0.0006424808412698413,0.41863536570680127,0.0,2.294210248081608
2020-11-23,30.4926,0.000469186,0.000469076,0.025188781,0.000785152,0.001503078,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.9,158.9,0.3156565656565746,-1.9,3.684,,968.53,30.4926,0.0,-0.0018310494613883,30.4926,0.0,0.00015873015873015873,0.0003104558412698413,0.4167576993452933,0.0,2.284680469742201
2020-11-24,30.511,0.000603425,0.000603243,0.025807406,0.000580202,0.000994611,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.88,158.9,0.3156565656565746,-1.88,3.684,,969.75,30.511,0.0,-0.0018310494613883,30.511,0.0,0.00015873015873015873,0.00044469484126984126,0.4237520066015086,0.0,1.5371834131516195
2020-11-25,30.5394,0.000930812,0.000930379,0.02676224,0.0005303,0.000934448,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.885,158.9,0.3156565656565746,-1.885,3.684,,969.52,30.5394,0.0,-0.0018310494613883,30.5394,0.0,0.00015873015873015873,0.0007720818412698413,0.3976318981278635,0.0,1.3551805365193894
2020-11-26,30.5828,0.001421115,0.001420106,0.028221387,0.000549502,0.000946974,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.872,158.9,0.3156565656565746,-1.872,3.684,,970.35,30.5828,0.0,-0.0018310494613883,30.5828,0.0,0.00015873015873015873,0.0012623848412698412,0.41265013843393095,0.0,1.425216450331464
2020-11-27,30.5863,0.000114443,0.000114437,0.02833906,0.000531489,0.000950036,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.911,158.9,0.3156565656565746,-1.911,3.684,,967.69,30.5863,0.0,-0.0018310494613883,30.5863,0.0,0.00015873015873015873,-4.428715873015873e-05,0.3923593979702784,0.0,1.359517547917708
2020-12-01,30.5579,-0.00092852,-0.000928952,0.027384226,0.000493894,0.000985295,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.93,157.3,-1.0069225928256764,-1.93,5.007,,966.5,30.5863,-0.0009285202852257812,-0.0018310494613883,30.5863,-0.0009285202852257812,0.00015873015873015873,-0.0010872501587301587,0.34016331545511924,-0.00092852,1.0799159293942848
2020-12-02,30.5475,-0.000340338,-0.000340395,0.027034569,0.000479228,0.000994596,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.92,157.3,-1.0069225928256764,-1.92,5.007,,966.92,30.5863,-0.0012685417981253679,-0.0018310494613883,30.5863,-0.0012685417981253679,0.00015873015873015873,-0.0004990681587301587,0.32223808105181484,-0.000340338,1.0307844454574688
2020-12-03,30.5563,0.000288076,0.000288034,0.027330433,0.000462596,0.000993442,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.932,157.3,-1.0069225928256764,-1.932,5.007,,966.58,30.5863,-0.000980831287210324,-0.0018310494613883,30.5863,-0.000980831287210324,0.00015873015873015873,0.00012934584126984128,0.3058697026551956,0.0,0.9772897175230212
2020-12-04,30.6099,0.001754139,0.001752602,0.029132513,0.000504918,0.001021067,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.897,157.3,-1.0069225928256764,-1.897,5.007,,968.28,30.6099,0.0,-0.0018310494613883,30.6099,0.0,0.00015873015873015873,0.0015954088412698413,0.33904328839612763,0.0,1.1134064226974403
2020-12-07,30.5996,-0.000336492,-0.000336549,0.028786218,0.000463519,0.001029411,,,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.924,157.3,-1.0069225928256764,-1.924,5.007,,967.0,30.6099,-0.00033649244198775117,-0.0018310494613883,30.6099,-0.00033649244198775117,0.00015873015873015873,-0.0004952221587301587,0.2960796857060234,-0.000336492,0.9800499200138946
2020-12-08,30.5861,-0.000441182,-0.00044128,0.028332336,0.000437325,0.001042455,,,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.939,157.3,-1.0069225928256764,-1.939,5.007,,965.72,30.6099,-0.00077752622517556,-0.0018310494613883,30.6099,-0.00077752622517556,0.00015873015873015873,-0.0005999121587301588,0.26724796289977304,-0.000441182,0.890078204008259
2020-12-09,30.5816,-0.000147126,-0.000147136,0.028181042,0.00034773,0.000968309,,,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.917,157.3,-1.0069225928256764,-1.917,5.007,,967.63,30.6099,-0.0009245374862380469,-0.0018310494613883,30.6099,-0.0009245374862380469,0.00015873015873015873,-0.00030585615873015876,0.19518390124127385,-0.000147126,0.6074790897828537
